article_url,title,date,time,section,author,excerpt,text_body,feat_img_link,feat_img_cation,year,month,day
https://www.kathimerini.gr/society/563595232/katerini-prosorina-kratoymenos-o-polonos-gia-ti-gynaikoktonia-16chronis-to-symvoylio-efeton-tha-apofasisei-gia-tin-ekdosi-toy/,Κατερίνη: Προσωρινά κρατούμενος ο Πολωνός για τη γυναικοκτονία 16χρονης – Το Συμβούλιο Εφετών θα αποφασίσει για την έκδοσή του,2025-05-05,13:51:39,Κοινωνία,Newsroom,"O ανήλικος δήλωσε ενώπιον του εισαγγελέα Εφετών ότι δεν επιθυμεί να εκδοθεί στην Πολωνία – Αποφασίστηκε η κράτησή του μέχρι να συγκληθεί το Δικαστικό Συμβούλιο, που θα αποφασίσει εάν θα κάνει δεκτό ή όχι το αίτημα των πολωνικών δικαστικών αρχών","Το Συμβούλιο Εφετών Θεσσαλονίκης θα αποφασίσει, το επόμενο διάστημα, για την έκδοση ή μη του ανήλικου Πολωνού στην πατρίδα του, όπου κατηγορείται ότι διέπραξε άγρια δολοφονία εναντίον μιας 16χρονης, με την οποία φέρεται να διατηρούσε σχέση. Ο ηλικίας 17,5 ετών κατηγορούμενος συνελήφθη το βράδυ της περασμένης Πέμπτης, στην Κατερίνη, όπου βρισκόταν συμμετέχοντας σε πρόγραμμα ανταλλαγής μαθητών. Σε εκτέλεση του εντάλματος των πολωνικών αρχών συνελήφθη και σήμερα οδηγήθηκε στην Εισαγγελία Εφετών Θεσσαλονίκης για να ξεκινήσουν οι διαδικασίες σχετικά με το αίτημα της Πολωνίας να εκδοθεί στη συγκεκριμένη χώρα. Στο πλευρό του βρέθηκε η μητέρα του, που ταξίδεψε στην Ελλάδα από την Πολωνία. O ανήλικος δήλωσε ενώπιον του εισαγγελέα Εφετών ότι δεν επιθυμεί να εκδοθεί στην Πολωνία, καθώς, όπως φέρεται να ισχυρίζεται, δέχεται απειλές μέσω του οικογενειακού του περιβάλλοντος. Υπό αυτές τις συνθήκες αποφασίστηκε η κράτησή του μέχρι να συγκληθεί το αρμόδιο Δικαστικό Συμβούλιο, που σε δημόσια συνεδρίαση θα αποφασίσει εάν θα κάνει δεκτό ή όχι το αίτημα των πολωνικών δικαστικών αρχών. Μέχρι τότε θα κρατηθεί στο ειδικό κατάστημα κράτησης νέων της Κασσαβέτειας, στον Βόλο. Σύμφωνα με τα πολωνικά διωκτικά έγγραφα, το στυγερό έγκλημα διαπράχθηκε στις 23 Απριλίου 2025 στην πόλη Μλάβα, στη βορειοανατολική Πολωνία. Ο νεαρός φέρεται να παρέσυρε την ανήλικη σε ένα παλιό ξυλουργείο, όπου της κατάφερε επανειλημμένα χτυπήματα με τσεκούρι ή σφυρί. Στη συνέχεια έκαψε την άτυχη κοπέλα, ρίχνοντας στο σώμα της άγνωστη χημική ουσία, ενώ πέταξε τη σορό της σε πλαστικό κάδο απορριμμάτων, όπως αναφέρεται στα ίδια έγγραφα. Ο κατηγορούμενος εντοπίστηκε σε ξενοδοχείο της Κατερίνης, όπου διέμενε στο πλαίσιο του προγράμματος ανταλλαγής μαθητών, και εκτελέστηκε το εις βάρος του ένταλμα σύλληψης. Με πληροφορίες από ΑΠΕ-ΜΠΕ",https://www.kathimerini.gr/wp-content/uploads/2025/05/peripoliko-astynomia-5-1-1-2-1-1-1-1-660x370.jpg?v=1746442251,Φωτ. INTIME news,2025,5,5
https://www.kathimerini.gr/society/563565025/menidi-nekri-vrethike-78chroni-synelifthi-o-syzygos-tis/,Γυναικοκτονία στο Μενίδι: 84χρονος σκότωσε τη σύζυγό του,2025-04-15,09:38:13,Κοινωνία,Αναστασία Σταματοπούλου,,"Νεκρή εντοπίστηκε το πρωί της Μεγάλης Τρίτης στο Μενίδι μια 78χρονη γυναίκα, ενώ έχει συλληφθεί ο 84χρονος σύζυγός της. Σύμφωνα με όσα έχουν γίνει γνωστά, η σορός της 78χρονης βρέθηκε μέσα στο σπίτι της. Ο σύζυγός της, σύμφωνα με πληροφορίες, φέρεται να υποστηρίζει ότι την έσπρωξε, με αποτέλεσμα να χτυπήσει στο κεφάλι και να χάσει τη ζωή της. Ο γιος του ζευγαριού κάλεσε το ΕΚΑΒ και στη συνέχεια κλήθηκε στο σημείο η ΕΛ.ΑΣ. Οι έρευνες των αστυνομικών βρίσκονται σε εξέλιξη. Πληροφορίες αναφέρουν ότι ο δράστης αντιμετωπίζει ψυχολογικά προβλήματα.",https://www.kathimerini.gr/wp-content/uploads/2025/04/astynomia-peripoliko-7-1-660x370.jpg?v=1744699066,Φωτ. αρχείου / ΙΝΤΙΜΕ,2025,4,15
https://www.kathimerini.gr/society/astynomiko/563512675/gynaikoktonia-sti-thessaloniki-pollapla-traymata-apo-machairi-efere-i-44chroni/,Γυναικοκτονία στη Θεσσαλονίκη: Πολλαπλά τραύματα από μαχαίρι έφερε η 44χρονη,2025-03-13,19:45:09,Αστυνομικό,Newsroom,"Τουλάχιστον 40 τραύματα από μαχαίρι έφερε στο σώμα της η 44χρονη, που δολοφονήθηκε από τον σύζυγό της την Τετάρτη στη Σίνδο Θεσσαλονίκης. Η αστυνομία περισυνέλεξε από το διαμέρισμά τους τέσσερα μαχαίρια, που χρησιμοποιήθηκαν από τον 53χρονο","Περισσότερα από 40 τραύματα με μαχαίρι κατάφερε στη σύζυγό του ο 53χρονος γυναικοκτόνος στη Σίνδο Θεσσαλονίκης την Τετάρτη, πριν δώσει και ο ίδιος τέλος στη ζωή του, σύμφωνα με τις πληροφορίες της ιατροδικαστικής έκθεσης. Οπως αναφέρεται, ο 53χρονος χτύπησε τη 44χρονη σύζυγό του σε διάφορα σημεία του σώματός της, ενώ η αστυνομία περισυνέλεξε από το διαμέρισμα όπου έγινε το ειδεχθές έγκλημα τέσσερα μαχαίρια, τα οποία χρησιμοποίησε ο δράστης κατά την τέλεσή του εγκλήματος. Ο 53χρονος, αφού σκότωσε τη σύζυγό του, αποφάσισε να δώσει τέλος στη ζωή του, πηδώντας από το μπαλκόνι δευτέρου ορόφου της πολυκατοικίας στην οποία διέμεναν. Ο δράστης παρελήφθη ευρισκόμενος σε σοβαρή κατάσταση με ασθενοφόρο του ΕΚΑΒ για να διακομιστεί στο νοσοκομείο, αλλά κατά τη διάρκεια της διακομιδής, πέθανε.",https://www.kathimerini.gr/wp-content/uploads/2025/03/astynomia-peripoliko-6-660x370.jpg?v=1741885887,Φωτ. αρχείου /  ΙΝΤΙΜΕ,2025,3,13
https://www.kathimerini.gr/society/astynomiko/563468911/gynaikoktonia-stis-serres-to-chroniko-kai-ta-eyrimata-toy-iatrodikasti/,Γυναικοκτονία στις Σέρρες: Το χρονικό και τα ευρήματα του ιατροδικαστή,2025-02-13,19:07:18,Αστυνομικό,Αναστασία Σταματοπούλου,"Τραύμα στο κεφάλι, πιθανόν από αμβλύ αντικείμενο, καθώς και σημάδια στραγγαλισμού, έφερε η 52χρονη","Τραύμα στο κεφάλι, πιθανόν από αμβλύ αντικείμενο, καθώς και σημάδια στραγγαλισμού, έφερε η 52χρονη που δολοφονήθηκε από τον σύζυγό της στο Σιτοχώρι Σερρών, σύμφωνα με πληροφορίες από την πρώτη εξέταση του ιατροδικαστή. Στις 8:23, ο 59χρονος δράστης και μετέπειτα αυτόχειρας κάλεσε στο Α.Τ. Βισαλτίας, λέγοντας πως σκότωσε τη σύζυγό του, εκφράζοντας παράλληλα την πρόθεσή του να αυτοκτονήσει. Επί τουλάχιστον 15 λεπτά, σύμφωνα με πληροφορίες, ο αξιωματικός Υπηρεσίας κατέβαλε προσπάθειες να τον μεταπείσει τηλεφωνικώς, ενώ ταυτόχρονα οχήματα της ΕΛ.ΑΣ. μετέβησαν στο σπίτι του ζευγαριού αποκλείοντας τον χώρο. Εκεί εντόπισαν την 52χρονη νεκρή στην κρεβατοκάμαρα, ενώ ο σύζυγός της είχε εξαφανιστεί. Λίγη ώρα αργότερα, σε απόσταση περίπου ενός χιλιομέτρου από το σπίτι του ζευγαριού, διαπιστώθηκε φωτιά σε εγκαταλελειμμένο ποιμνιοστάσιο. Μετά την κατάσβεση, η σορός του 59χρονου εντοπίστηκε στο σημείο. Στα χέρια των αστυνομικών βρίσκεται και ένα ιδιόχειρο σημείωμα του δράστη, το οποίο εντοπίστηκε στο σπίτι του ζευγαριού. Μεταξύ άλλων έγραφε: «Τελικά η αγάπη μπορεί να σκοτώσει, για δες. Δεν θα σε δικάσουμε αντίο (αναφερόμενος στον γιο τους). Να είσαι δυνατός σε παρακαλώ. Ας με συγχωρέσει ο Θεός, δεν γινόταν αλλιώς. Το ’κανα για να ησυχάσουμε από όλους. Θα φύγουμε όλοι μαζί, αντίο. Το σκυλί το πήρα μαζί μου».",https://www.kathimerini.gr/wp-content/uploads/2025/02/shutterstock_1590152866-1-1-1-1-1-1-1-1_1-1-1-1-660x370.jpg?v=1739466204,Φωτ. Shutterstock,2025,2,13
https://www.kathimerini.gr/society/563467903/gynaikoktonia-stis-serres-55chronos-skotose-ti-syzygo-toy/,Γυναικοκτονία στις Σέρρες: 59χρονος σκότωσε τη σύζυγό του,2025-02-13,10:41:44,Κοινωνία,Αναστασία Σταματοπούλου,,"upd 12:00. Ανδρας 59 ετών στο Σιτοχώρι Σερρών δολοφόνησε τη σύζυγό του μέσα στο σπίτι τους το πρωί της Πέμπτης. Σύμφωνα με όσα έχουν γίνει γνωστά, λίγο μετά τις 8:00 ο άνδρας κάλεσε την Aστυνομία και είπε ότι έχει σκοτώσει τη σύζυγό του, απειλώντας να αυτοκτονήσει. Στελέχη της ΕΛ.ΑΣ. έσπευσαν στο σημείο και εντόπισαν νεκρή την 52χρονη γυναίκα με ίχνη στραγγαλισμού, ενώ εκτιμάται ότι είχε προηγηθεί χτύπημα με αντικείμενο. Ο δράστης τράπηκε σε φυγή πριν φτάσουν οι αστυνομικοί στο σημείο και αναζητείται. Στην περιοχή έχει σπεύσει και διαπραγματευτής της ΕΛ.ΑΣ. Κατά τις πρώτες πληροφορίες, ο 59χρονος είχε απασχολήσει στο παρελθόν τις Αρχές για καβγάδες με τον γιο του, ενώ αμφότεροι είχαν προσαχθεί. Οπως έγινε γνωστό αργότερα, η απαναθρακωμένη σορός ενός άνδρα βρέθηκε κοντά σε μαντρί της περιοχής. Η σορός δεν έχει αναγνωριστεί ακόμη, ωστόσο, υπάρχουν υποψίες ότι πρόκειται για τον 59χρονο και ότι αυτοκτόνησε.",https://www.kathimerini.gr/wp-content/uploads/2025/02/shutterstock_2379294947-5-1-1-1-1-2-1-1-660x370.jpg?v=1739435863,,2025,2,13
https://www.kathimerini.gr/society/563408581/gynaikoktonia-stoys-agioys-anargyroys-anakoinosi-el-as-gia-tis-peitharchikes-poines-stoys-astynomikoys/,Γυναικοκτονία στους Αγίους Αναργύρους: Ανακοίνωση ΕΛ.ΑΣ. για τις πειθαρχικές ποινές στους αστυνομικούς,2025-01-09,16:04:56,Κοινωνία,Newsroom,"«Εφόσον εκδοθεί αμετάκλητη καταδικαστική απόφαση του ποινικού δικαστηρίου, που επισύρει ποινή απόταξης ή αργίας με απόλυση, επαναλαμβάνεται η πειθαρχική δίκη για τυχόν επιβολή των ποινών αυτών», σημειώνει μεταξύ άλλων το Αρχηγείο της ΕΛ.ΑΣ.","Στις πειθαρχικές ποινές σε βάρος των αστυνομικών που ενεπλάκησαν στην υπόθεση της γυναικοκτονίας της 28χρονης Κυριακής Γρίβα, έξω από το Α.Τ. Αγίων Αναργύρων, αναφέρεται σε ανακοίνωσή του το Αρχηγείο της Ελληνικής Αστυνομίας. Οπως επισημαίνει η ΕΛ.ΑΣ., «σύμφωνα με το Πειθαρχικό Δίκαιο Αστυνομικών Υπαλλήλων, η πειθαρχική διαδικασία είναι αυτοτελής και ανεξάρτητη, ενώ δεν μπορεί να ανασταλεί από την ποινική ή άλλη δίκη. Στη συγκεκριμένη υπόθεση, ενεργοποιήθηκαν άμεσα οι μηχανισμοί διερεύνησης σε ποινικό και πειθαρχικό επίπεδο, με σκοπό την εξέταση και τον τυχόν καταλογισμό ευθυνών σε βάρος των εμπλεκόμενων αστυνομικών». Σχετικά με τις διαδικασίες που ακολουθήθηκαν, το Αρχηγείο της ΕΛ.ΑΣ. αναφέρει πως «σε ποινικό επίπεδο, διατάχθηκε από την Εισαγγελία Πρωτοδικών Αθηνών προκαταρκτική εξέταση, η οποία ανατέθηκε στην Υπηρεσία Εσωτερικών Υποθέσεων Σωμάτων Ασφαλείας. Μετά τις απαραίτητες ενέργειες η δικογραφία υποβλήθηκε στην Εισαγγελία στις 6 Δεκεμβρίου 2024, όπου εκκρεμεί η διερεύνηση της τέλεσης ποινικών αδικημάτων από τους εμπλεκόμενους αστυνομικούς». «Παράλληλα, με την ΕΔΕ που είχε εξ αρχής διαταχθεί, μετά και τη γνωμοδότηση του Συνηγόρου του Πολίτη, οι αστυνομικοί παραπέμφθηκαν στο Πρωτοβάθμιο Πειθαρχικό Συμβούλιο Αξιωματικών Αθηνών, με το ερώτημα επιβολής της ποινής της απόταξης», προστίθεται. «Το αρμόδιο πειθαρχικό δικαστήριο σε πρώτο βαθμό επέβαλε, κατά την ανεξάρτητη κρίση του, για αμιγώς πειθαρχικά παραπτώματα, ποινές αργίας με απόλυση σε τρεις αστυνομικούς και ποινή προστίμου σε έναν αστυνομικό, ενώ κατά την εκδίκαση σε δεύτερο βαθμό, ως προς τους τρεις αστυνομικούς, επιβλήθηκαν εκ νέου ποινές αργίας με απόλυση μεγαλύτερης διάρκειας», τονίζεται επίσης. Στην ίδια ανακοίνωση, επισημαίνεται ότι η επόπτρια και ο σκοπός του αστυνομικού καταστήματος δεν υπηρετούν πλέον στην Ελληνική Αστυνομία, «η πρώτη λόγω αποστρατείας και ο δεύτερος λόγω απόταξης για προγενέστερο παράπτωμα». «Η ανωτέρω απόφαση του δευτεροβάθμιου πειθαρχικού δικαστηρίου, για πρώτη φορά με απόφαση του υπουργού Προστασίας του Πολίτη, θα διαβιβαστεί στην Εθνική Αρχή Διαφάνειας, προκειμένου να ασκηθούν τα κατά τον νόμο προβλεπόμενα ένδικα μέσα», διευκρινίζει η ΕΛ.ΑΣ. «Σημειώνεται ότι τα Πειθαρχικά Συμβούλια λειτουργούν και λαμβάνουν αποφάσεις ανεξάρτητα, όπως συμβαίνει και με τα ποινικά δικαστήρια, ενώ σύμφωνα με το πειθαρχικό δίκαιο, εφόσον εκδοθεί αμετάκλητη καταδικαστική απόφαση του ποινικού δικαστηρίου, που επισύρει ποινή απόταξης ή αργίας με απόλυση, επαναλαμβάνεται η πειθαρχική δίκη για τυχόν επιβολή των ποινών αυτών», καταλήγει η ανακοίνωση.",https://www.kathimerini.gr/wp-content/uploads/2025/01/4216470-1-1-1_1-660x370.jpg?v=1736429829,INTIME News (Φωτ. αρχείου),2025,1,9
https://www.kathimerini.gr/society/563404276/gynaikoktonia-stoys-agioys-anargyroys-sti-dimosiotita-to-voyleyma-gia-ton-39chrono/,Γυναικοκτονία στους Αγίους Αναργύρους: Στο «φως» το βούλευμα για τον 39χρονο,2025-01-06,19:58:00,Κοινωνία,Newsroom,"Ο κατηγορούμενος βρισκόταν σε ήρεμη ψυχική κατάσταση και είχε απόλυτη συνείδηση των πράξεών του. Πώς στοιχειοθετείται η αναφορά σε ανθρωποκτόνο δόλο, σύμφωνα με το βούλευμα","Εννέα μήνες μετά τη γυναικοκτονία της 28χρονης Κυριακής Γρίβα, η οποία δολοφονήθηκε από τον πρώην σύντροφο της έξω από το Α.Τ. Αγίων Αναργύρων, στη δημοσιότητα έρχεται το βούλευμα για τον δράστη, ο οποίος παραμένει κρατούμενος στο ψυχιατρείο των φυλακών Κορυδαλλού. Σύμφωνα με το βούλευμα, ο κατηγορούμενος βρισκόταν σε ήρεμη ψυχική κατάσταση και είχε απόλυτη συνείδηση των πράξεών του, όπως αναφέρει σε ρεπορτάζ η ΕΡΤ. Ειδικότερα, η αναφορά σε ανθρωποκτόνο δόλο στοιχειοθετείται από το μέσο που χρησιμοποίησε ο δράστης για την τέλεση της πράξης. Πρόκειται για το μαχαίρι, μήκους 34εκατοστών με λάμα 20 εκατοστών, με το οποίο κατάφερε πολλαπλά πλήγματα στο σώμα της 28χρονης. Σε άλλο σημείο, υπογραμμίζεται ότι, όπως διαπιστώθηκε εργαστηριακά, ο 39χρονος είχε κάνει χρήση σκευάσματος που του είχε συνταγογραφηθεί για θεραπευτικούς σκοπούς. Είχε επίσης καταναλώσει μέτρια ποσότητα αλκοόλ, ώστε να μη δικαιολογείται μέθη ή καταστολή του επιπέδου της συνείδησής του. Τέλος, γίνεται αναφορά στο γεγονός πως ο 39χρονος είχε αισθήματα εκδίκησης, εξαιτίας της διακοπής της ερωτικής του σχέσης με το θύμα.",https://www.kathimerini.gr/wp-content/uploads/2025/01/4216685_1-1-660x370.jpg?v=1736185848,Φωτ. INTIME News,2025,1,6
https://www.kathimerini.gr/society/dikastiko/563366386/gynaikoktonia-stoys-ampelokipoys-profylakisteos-o-39chronos/,Γυναικοκτονία στους Αμπελοκήπους: Προφυλακιστέος ο 39χρονος,2024-12-10,14:30:27,Δικαστικό,Σοφία Σπίγγου,Τι υποστήριξε στην απολογία του,"Τον δρόμο για τη φυλακή πήρε 39χρονος, αλβανικής καταγωγής, που ομολόγησε πως σκότωσε τη σύζυγό του με ένα σφυρί και στη συνέχεια έκρυψε τη σορό στο πατάρι του σπιτιού της οικογένειας στου Αμπελοκήπους. Σύμφωνα με πληροφορίες, δήλωσε συντετριμμένος κατά την απολογία του, ενώ φέρεται να υποστήριξε πως το έγκλημα δεν ήταν προμελετημένο. «Θόλωσα όταν η σύζυγός μου μού είπε ότι το ένα από τα δύο παιδιά δεν είναι δικό μου. Πήρα το σφυρί και τη χτύπησα», φέρεται να είπε στην απολογία του. Μάλιστα, φέρεται να είπε ότι καβγάδισαν και τη σκότωσε εν βρασμώ ψυχικής ορμής αρπάζοντας ένα σφυρί από την τσάντα της δουλειάς του. Κατά τους ισχυρισμούς του, επιχείρησε να την επαναφέρει, αλλά κατάλαβε ότι ήταν νεκρή. Τότε, όπως φέρεται να είπε, πανικοβλήθηκε και αποφάσισε να κρύψει τη σορό. Απαντώντας σχετικά με τα μηνύματα που φέρεται να έστελνε στα παιδιά του από το κινητό της νεκρής συζύγου του όταν εκείνα την αναζητούσαν, είπε πως δεν ήθελε να τα στενοχωρήσει. Σε βάρος του 39χρονου έχει ασκηθεί ποινική δίωξη για ανθρωποκτονία με δόλο σε ήρεμη ψυχική κατάσταση, παράνομη οπλοκατοχή και οπλοχρησία.",https://www.kathimerini.gr/wp-content/uploads/2024/12/4485114-660x370.jpg?v=1733833810,Φωτ.: Intime,2024,12,10
https://www.kathimerini.gr/society/563359285/ampelokipoi-sokarei-i-omologia-toy-gynaikoktonoy/,Γυναικοκτονία στους Αμπελοκήπους: Σοκάρει η ομολογία του δράστη,2024-12-06,09:15:10,Κοινωνία,Newsroom,,"Σοκάρει ο ομολογία του 39χρονου δράστη της γυναικοκτονίας στους Αμπελοκήπους, με τη σορό της συζύγου του να εντοπίζεται έπειτα από έξι ημέρες στο πατάρι του σπιτιού τους. Τις Αρχές ειδοποίησε χθες το απόγευμα ο ίδιος ο δράστης. Σύμφωνα με πληροφορίες, υποστήριξε στους αστυνομικούς πως γνώριζε ότι το θύμα τον απατούσε και «θόλωσε» όταν την άκουσε να μιλάει στο τηλέφωνο με άλλον άνδρα την περασμένη Πέμπτη, σύμφωνα με τους ισχυρισμούς του. Στη συνέχεια, όπως κατά πληροφορίες είπε, τη χτύπησε στο κεφάλι με σφυρί και τη στραγγάλισε. Επειτα με ένα σεντόνι την τύλιξε, την έκρυψε για κάποιες ώρες στο δωμάτιό τους και το επόμενο πρωί, αφού πήγε τα παιδιά του στο σχολείο, μετέφερε τη σορό στο πατάρι. Σημειώνεται ότι εκεί εντοπίστηκε και το σφυρί με το οποίο τη χτύπησε. Ο 39χρονος αρχικά πήγε τα παιδιά στον αδελφό του. Οταν χρειάστηκε τελικά να επιστρέψουν στο σπίτι, ο 39χρονος, σύμφωνα με όσα είπε, αποφάσισε να καλέσει τις Αρχές και να ομολογήσει το έγκλημα.",https://www.kathimerini.gr/wp-content/uploads/2024/12/4484738-660x370.jpg?v=1733468951,ΙΝΤΙΜΕ,2024,12,6
https://www.kathimerini.gr/society/563351092/thessaloniki-nea-gynaikoktonia-me-thyma-roma-paradothike-o-allodapos-drastis/,"Θεσσαλονίκη: Νέα γυναικοκτονία, με θύμα Ρομά – Παραδόθηκε ο αλλοδαπός δράστης",2024-12-01,11:56:04,Κοινωνία,Αναστασία Σταματοπούλου,"Νέο περιστατικό γυναικοκτονίας καταγράφηκε την Κυριακή, στη Θεσσαλονίκη. Η ανακοίνωση της ΕΛ.ΑΣ.","[upd.: 13.18] Νέο περιστατικό γυναικοκτονίας καταγράφηκε σήμερα, τη φορά αυτή στη Θεσσαλονίκη, με έναν άνδρα να φέρεται ότι σκότωσε τη σύζυγό του και να τραυμάτισε τον γιο της, πριν παραδοθεί στην αστυνομία. Σύμφωνα με την ΕΛ.ΑΣ., τις πρωινές ώρες της Κυριακής συνελήφθη από αστυνομικούς του Τμήματος Δίωξης και Εξιχνίασης Εγκλημάτων Θερμαϊκού ένας 46χρονος αλλοδαπός για την ανθρωποκτονία της 60χρονης συζύγου του και τον τραυματισμό του 29χρονου γιου της, σε οικία στην περιοχή Αγγελοχώρι. Ο άνδρας θα οδηγηθεί άμεσα στον εισαγγελέα, αφού σε βάρος του σχηματίστηκε δικογραφία για ανθρωποκτονία με δόλο, τετελεσμένη και σε απόπειρα. Η νέα γυναικοκτονία εκτυλίχθηκε το πρωί στο σπίτι της οικογένειας, ενώ πληροφορίες αναφέρουν πως δεν υπήρχε ιστορικό ενδοοικογενειακής βίας από πλευράς δράστη. Σύμφωνα με πληροφορίες, για άγνωστο λόγο ξέσπασε έντονος καυγάς ανάμεσα στο ζευγάρι. Κατά πληροφορίες της «Κ» ο θανάσιμος τραυματισμός της 60χρονης γυναίκας έγινε με μαχαίρι, ενώ τραυματίστηκε και ο γιος τους που προσπάθησε να σταματήσει τον καυγά τους και να αποτρέψει τον πατριό του από την επίθεση στη μητέρα του. Ο αλλοδαπός φέρεται να είναι αλβανικής καταγωγής, ενώ το θύμα ήταν Ρομά. Ο δράστης μετέβη ο ίδιος στην αστυνομία όπου και παραδόθηκε, δηλώνοντας ότι σκότωσε τη γυναίκα του. Σύμφωνα με πληροφορίες, η ζωή του 29χρονου γιου του θύματος δεν διατρέχει κίνδυνο και νοσηλεύεται στο Ιπποκράτειο Νοσοκομείο Θεσσαλονίκης. «Από αστυνομικούς του Τμήματος Δίωξης και Εξιχνίασης Εγκλημάτων Θερμαϊκού συνελήφθη, πρωινές ώρες σήμερα (01-12-2024), 46χρονος αλλοδαπός για ανθρωποκτονία και απόπειρα ανθρωποκτονίας. Ειδικότερα, όπως προέκυψε από την αστυνομική έρευνα, ο ανωτέρω έπειτα από διαπληκτισμό, τραυμάτισε θανάσιμα με χρήση δύο μαχαιριών την 60χρονη σύζυγό του και σοβαρά τον 29χρονο γιο της, εντός της οικίας τους στην περιοχή του Αγγελοχωρίου του Δήμου Θερμαϊκού. Στο σημείο μετέβη συνεργείο της Υποδιεύθυνσης Εγκληματολογικών Ερευνών Βορείου Ελλάδος, για την εξερεύνηση και φωτογράφηση του χώρου. Ο συλληφθείς ο οποίος παρουσιάστηκε αυτοβούλως στην επιληφθείσα Υπηρεσία, θα οδηγηθεί στον αρμόδιο Εισαγγελέα».",https://www.kathimerini.gr/wp-content/uploads/2024/12/astynomikos-1-1-660x370.jpg?v=1733046885,,2024,12,1
