article_url,title,date,time,section,author,excerpt,text_body,feat_img_link,feat_img_cation,year,month,day
https://www.naftemporiki.gr/society/1939877/gynaikoktonia-stoys-agioys-anargyroys-mnimeio-pros-timin-tis-kyriakis-griva-exo-apo-to-a-t/,Γυναικοκτονία στους Αγίους Αναργύρους: Μνημείο προς τιμήν της Κυριακής Γρίβα έξω από το Α.Τ.,2025-04-01,20:32:50,Κοινωνία,,"Ένας χρόνος συμπληρώνεται σήμερα από την γυναικοκτονία έξω από το Αστυνομικό Τμήμα των Αγίων Αναργύρων, απ’ όταν η 28χρονη Κυριακή Γρίβα πήγε εκεί για να ζητήσει βοήθεια από τους αστυνομικούς. Όμως η απάντηση που πήρε ήταν «Κυρία μου το περιπολικό δεν είναι ταξί».","Έξω από το Αστυνομικό Τμήμα της περιοχής, όπου η Κυριακή δολοφονήθηκε από τον πρώην σύντροφό της, αποκαλύφθηκε ένα μνημείο προς τιμήν της. Μετά τα αποκαλυπτήρια, η μητέρα της γονάτισε μπροστά στην προτομή της κόρης της. Από την πλευρά του, ο πατέρας της δήλωσε: «Καμία άλλη Κυριακή δολοφονημένη. Θέλω να βλέπετε το μνήμα αυτό και να παίρνετε δύναμη κορίτσια. Κορίτσια σηκώστε το κεφάλι, κανένας ψευτόμαγκας δεν πρέπει να απλώνει χέρι πάνω σας». Στο σημείο παρευρέθηκαν, μεταξύ άλλων, ο δήμαρχος Αγίων Αναργύρων – Καματερού, Σταύρος Τσίρμπας, εκπρόσωποι της Τοπικής Αυτοδιοίκησης και πολίτες. Παρόντες ήταν και μαθητές από το Μουσικό Σχολείο Ιλίου, που τραγούδησαν μεταξύ άλλων το τραγούδι «Τακούνια για καρφιά», ένα τραγούδι αφιερωμένο στις γυναικοκτονίες. ",https://www.naftemporiki.gr/wp-content/themes/naftemporiki/images/N.PNG,Ανήμερα της συμπλήρωσης ενός χρόνου από τη γυναικοκτονία,2025,4,1
https://www.naftemporiki.gr/society/1931901/thessaloniki-nea-gynaikoktonia-skotose-ti-syzygo-toy-kai-pidixe-apo-to-mpalkoni/,Θεσσαλονίκη: Νέα γυναικοκτονία – Σκότωσε τη σύζυγό του και πήδηξε από το μπαλκόνι,2025-03-12,14:51:05,Κοινωνία,,"Νέα γυναικοκτονία διαπράχθηκε στη Σίνδο Θεσσαλονίκης, σήμερα Τετάρτη το μεσημέρι.","Άνδρας ηλικίας 53 ετών φέρεται να μαχαίρωσε και σκότωσε τη 44χρονη σύζυγό του. Η 44χρονη έφερε πολλαπλές μαχαιριές, βάσει των πρώτων πληροφοριών. Αφού διέπραξε το έγκλημα, ο 53χρονος έπεσε από μπαλκόνι δευτέρου ορόφου και τραυματίστηκε σοβαρά. Κατά τη διακομιδή του με ασθενοφόρο σε νοσοκομείο, ο 53χρονος υπέκυψε στα τραύματά του, σύμφωνα με το thestival.gr. Ο 53χρονος και η 44χρονη, και οι δύο υπήκοοι Αλβανίας, διέμεναν σε διαμέρισμα στη Σίνδο Θεσσαλονίκης. Κατά πληροφορίες του ΑΠΕ-ΜΠΕ, είχαν δύο κόρες (21 και 16 ετών). Στο σημείο κλήθηκαν να σπεύσουν δυνάμεις της Αστυνομίας και ασθενοφόρα του ΕΚΑΒ, καθώς και ιατροδικαστής. ",https://www.naftemporiki.gr/wp-content/themes/naftemporiki/images/N.PNG,"Άνδρας ηλικίας 53 ετών φέρεται να μαχαίρωσε και σκότωσε τη 44χρονη σύζυγό του, ενώ εν συνεχεία πήδηξε από το μπαλκόνι και κατά τη διακομιδή του σε νοσοκομείο άφησε την τελευταία του πνοή",2025,3,12
https://www.naftemporiki.gr/society/1931945/gynaikoktonia-sti-thessaloniki-nekros-o-53chronos-poy-skotose-ti-syzygo-toy/,Γυναικοκτονία στη Θεσσαλονίκη: Νεκρός ο 53χρονος που σκότωσε τη σύζυγό του,2025-03-12,15:46:47,Κοινωνία,,"Κατέληξε κατά τη διακομιδή του στο νοσοκομείο ο 53χρονος άνδρας, ο οποίος σκότωσε με πολλαπλές μαχαιριές τη 44χρονη σύζυγό του στη Σίνδο Θεσσαλονίκης, σήμερα Τετάρτη το μεσημέρι.","Αφού διέπραξε το έγκλημα, ο 53χρονος έπεσε από μπαλκόνι δευτέρου ορόφου και τραυματίστηκε σοβαρά. Κατά τη διακομιδή του με ασθενοφόρο σε νοσοκομείο, ο 53χρονος υπέκυψε στα τραύματά του. Η 44χρονη έφερε πολλαπλές μαχαιριές, βάσει των πρώτων πληροφοριών. Ο 53χρονος και η 44χρονη, και οι δύο υπήκοοι Αλβανίας, διέμεναν σε διαμέρισμα στη Σίνδο Θεσσαλονίκης. Κατά πληροφορίες του ΑΠΕ-ΜΠΕ, είχαν δύο κόρες (21 και 16 ετών). Στο σημείο κλήθηκαν να σπεύσουν δυνάμεις της Αστυνομίας και ασθενοφόρα του ΕΚΑΒ, καθώς και ιατροδικαστής. ",https://www.naftemporiki.gr/wp-content/themes/naftemporiki/images/N.PNG,Υπέκυψε στα τραύματά του,2025,3,12
https://www.naftemporiki.gr/society/1929129/serres-sto-para-5-aposovithike-nea-gynaikoktonia-eiche-periloysei-to-spiti-me-venzini/,Σέρρες: Στο παρά 5′ αποσοβήθηκε νέα γυναικοκτονία – Είχε περιλούσει το σπίτι με βενζινη,2025-03-04,20:13:33,Κοινωνία,,"Προσπάθησε να κάψει τη 37χρονη γυναίκα του μέσα στο σπίτι τους, αλλά μετά τηλεφώνημα ενός γείτονα και ενός συγγενή στην αστυνομία αποσοβήθηκε η εγκληματική πράξη.","Αστυνομικοί της Διεύθυνσης Ασφάλειας Σερρών, σύμφωνα με την ΕΡΤ, έφτασαν άμεσα στο σπίτι, αλλά ο 55χρονος, που δεν πρόλαβε να βάλει τη φωτιά, είχε διαφύγει. Εκεί διαπίστωσαν ότι το σπίτι ήταν γεμάτο βενζίνη και στο υπόγειο βρισκόταν το μπιτόνι, με το οποίο τη μετέφερε. Μετά από έρευνα των αστυνομικών, στο σπίτι βρέθηκαν μια καραμπίνα, ένα τόξο κι ένα αεροβόλο. Η αστυνομία τον εντόπισε μετά από σαράντα λεπτά, τον συνέλαβε και τον οδήγησε στον εισαγγελέα. Σε βάρος του 55χρονου σχηματίστηκε δικογραφία για απόπειρα ανθρωποκτονίας από δόλο και ενδοοικογενειακή βία. Σύμφωνα με πληροφορίες της ΕΡΤ Σερρών το ζευγάρι βρισκόταν σε διάσταση. Ζούσαν, όμως, μαζί με τα τρία τους παιδιά. ",https://www.naftemporiki.gr/wp-content/themes/naftemporiki/images/N.PNG,Η αστυνομία έφτασε προτού προλάβει να βάλει φωτιά,2025,3,4
https://www.naftemporiki.gr/society/1912551/gynaikoktonia-stis-serres-aytoktonise-o-59chronos-poy-dolofonise-ti-syzygo-toy/,Γυναικοκτονία στις Σέρρες: Αυτοκτόνησε ο 59χρονος που δολοφόνησε τη σύζυγό του,2025-02-13,12:04:21,Κοινωνία,,"Τέλος στη ζωή του έβαλε ο 59χρονος, ο οποίος τις προηγούμενες ώρες δολοφόνησε την 52χρονη σύζυγό του στο Σιτοχώρι Σερρών.","Σύμφωνα με πληροφορίες του thestival.gr, ο 59χρονος μετά τη γυναικοκτονία κατέφυγε σε ποιμνιοστάσιο, όπου αυτοπυροπολήθηκε. Σορός αγνώστων στοιχείων, εντοπίστηκε κατά τη διάρκεια κατάσβεσης #πυρκαγιάς σε πρόχειρη κατασκευή, στην Τ.Κ. Σιτοχωρίου του δήμου Βισαλτίας Σερρών. Επιχειρούν 6 #πυροσβέστες με 3 οχήματα. — Πυροσβεστικό Σώμα (@pyrosvestiki) February 13, 2025  Υπενθυμίζεται ότι σήμερα, Πέμπτη, το πρωί ο 59χρονος τηλεφώνησε στις αστυνομικές αρχές και δήλωσε ότι δολοφόνησε την 52χρονη σύζυγό του στο σπίτι τους, στον οικισμό Σιτοχώρι των Σερρών. Αστυνομικοί που κλήθηκαν να σπεύσουν στο σημείο εντόπισαν νεκρή τη γυναίκα. Σύμφωνα με πληροφορίες του ΑΠΕ-ΜΠΕ, ο δράστης φέρεται να στραγγάλισε τη σύζυγό του. Στο σημείο κλήθηκε να μεταβεί ιατροδικαστής. Ακολούθησαν έρευνες των αρχών για τον εντοπισμό του δράστη, ο οποίος βρέθηκε νεκρός. ",https://www.naftemporiki.gr/wp-content/themes/naftemporiki/images/N.PNG,"Βάσει των πρώτων πληροφοριών, αυτοπυρπολήθηκε",2025,2,13
https://www.naftemporiki.gr/society/1912436/gynaikoktonia-stis-serres-59chronos-dolofonise-ti-syzygo-toy-anaziteitai-apo-tis-arches/,Γυναικοκτονία στις Σέρρες: 59χρονος δολοφόνησε τη σύζυγό του – Αναζητείται από τις αρχές,2025-02-13,10:39:51,Κοινωνία,,Γυναικοκτονία με θύμα 52χρονη διαπράχθηκε σε χωριό των Σερρών.,"Σήμερα, Πέμπτη, το πρωί 59χρονος τηλεφώνησε στις αστυνομικές αρχές και δήλωσε ότι δολοφόνησε την 52χρονη σύζυγό του στο σπίτι τους, στον οικισμό Σιτοχώρι των Σερρών. Αστυνομικοί που κλήθηκαν να σπεύσουν στο σημείο εντόπισαν νεκρή τη γυναίκα. Βάσει πληροφοριών του thestival.gr, ο 59χρονος σκότωσε τη σύζυγό του πυροβολώντας με κυνηγετικό όπλο. Σύμφωνα με άλλες πληροφορίες του ΑΠΕ-ΜΠΕ, ο δράστης φέρεται να στραγγάλισε τη σύζυγό του. Επί τόπου σπεύδει ιατροδικαστής. Σε εξέλιξη βρίσκεται ανθρωποκυνηγητό των αρχών για τον εντοπισμό του δράστη. ",https://www.naftemporiki.gr/wp-content/themes/naftemporiki/images/N.PNG,Τηλεφώνησε στις αστυνομικές αρχές και δήλωσε ότι δολοφόνησε τη σύζυγό του,2025,2,13
https://www.naftemporiki.gr/society/1900853/gynaikoktonia-stoys-agioys-anargyroys-epta-erotimata-pros-toys-ypoyrgoys-floridi-chrysochoidi-apo-toys-synigoroys-tis-kyriakis-griva/,"Γυναικοκτονία στους Αγίους Αναργύρους: Επτά ερωτήματα προς τους υπουργούς Φλωρίδη, Χρυσοχοΐδη από τους συνηγόρους της Κυριακής Γρίβα",2025-02-01,15:28:44,Κοινωνία,,"Ερωτήματα προς τους υπουγούς Δικαιοσύνης, Γιώργο Φλωρίδη και Προστασίας του Πολίτη, Μιχάλη Χρυσοχοΐδη, μετά την δημοσιοποίηση της άσκησης ποινικής δίωξης στους αστυνομικούς του ΑΤ Αγ. Αναργύρων για τα γεγονότα που οδήγησαν στη δολοφονία της Κυριακής Γρίβα, απευθύνοι οι δικηγόροι της οικογένειάς της.","Συγκεκριμένα οι δύο υπουργοί ερωτώνται: 1ον Είναι αλήθεια κύριε Φλωρίδη ότι ο Δολοφόνος της Κυριακής Γρίβα φυλάσσεται προσωρινά κρατούμενος στο Ψυχιατρείο Κρατουμένων Κορυδαλλού, αν και με δικαστική ψυχιατρική πραγματογνωμοσύνη εδώ και πολλούς μήνεες έχει κριθεί ότι είχε πλήρη συνείδηση των πραττομένων του; 2ον Είναι αλήθεια κύριε Φλωρίδη ότι θεράπων Ιατρός του Δολοφόνου της Κυριακής Γρίβα, είναι ο γνωστός Καθηγητής Ψυχιατρικής, που διεκπεραίωσε άψογα προφανώς και αποτελεσματικά τα καθήκοντά του κατά την εξέταση γνωστών ολιγαρχών, τροφίμων του Ψυχιατρείου; Ποιο ακριβώς το πλαίσιο συνεργασίας του Ψυχιατρείου Κρατουμένων Κορυδαλλού με την Ψυχιατρική Κλινική Δημόσιου Νοσοκομείου, υπό την Διεύθυνση του Αξιότιμου Καθηγητή, που έχει εξειδικευθεί στη διάγνωση ατόμων με αυτοκτονικό ιδεασμό; 3ον Εσείς κύριε Φλωρίδη ως αρμόδιος Υπουργός της Δικαιοσύνης, μπορείτε να μας ενημερώσετε πόσα άτομα με πολύ σοβαρά προβλήματα είτε ψυχικής υγείας είτε σωματικής παραμένουν «στοιβαγμένα» στις Φυλακές της Ελλάδος, με αποτέλεσμα την επανειλημμένη καταδίκη της χώρας μας από το Ε.Δ.Δ.Α., και δεν υπάρχει εισήγηση για μεταφορά τους στο Ψυχιατρείο Κρατουμένων Κορυδαλλού, όπου κατά καιρούς έχουν νοσηλευθεί κρατούμενοι με μπάρμπα στην κορώνη ή στο Υπουργείο Δικαιοσύνης; 4ον Είναι αλήθεια κύριε Χρυσοχοΐδη ότι ο πειθαρχικός φάκελος των τεσσάρων (4) Αστυνομικών διαβιβάστηκε στην Εθνική Αρχή Διαφάνειας για την άσκηση ένδικων μέσων, κατά των σκανδαλωδών πειθαρχικών αποφάσεων, διά των οποίων επιβλήθηκαν ποινές-χάδι και απεριόριστου «προδέρμ» στους υπαιτίους; 5ον Ασκήθηκαν τελικά τα ένδικα μέσα κατά των εν λόγω πειθαρχικών αποφάσεων από την Εθνική Αρχή Διαφάνειας, κύριε Χρυσοχοΐδη; Εάν ναι, έχετε διατάξει τον πειθαρχικό έλεγχο των υπαιτίων της πειθαρχικής και υπηρεσιακής κατ’ ουσίαν συγκάλυψης; 6ον Γιατί κύριε Χρυσοχοΐδη ο Αξιωματικός που διενήργησε την Ε.Δ.Ε. σε βάρος των Αστυνομικών και ποτέ δεν κάλεσε καν για ένορκη εξέταση την μητέρα της Κυριακής, αν και μετ’ επιτάσεως το ζητήσαμε, αλλά και ο αρμόδιος Αξιωματικός της Διεύθυνσης Αστυνομικού Προσωπικού, που παρανόμως δεν μας χορήγησε πρόσβαση στον πειθαρχικό φάκελο, με τα γνωστά επακόλουθα και έκτροπα, επιβραβεύθηκαν στις πρόσφατες Κρίσεις της Αστυνομίας, όπως άλλωστε και όσοι αντιμετώπισαν με ανάλογο «προδέρμ» τον γνωστό παιδοβιαστή της Βουλής; Μήπως τα Αντανακλαστικά του Υπουργείου Προστασίας του Πολίτη, ομοιάζουν και αρχίζουν να μοιάζουν με εκείνα του Α.Τ. Αγίων Αναργύρων ή του 100-Δεν είμαστε Ταξί, οδηγώντας έτσι σε νέες Δολοφονίες Γυναικών, νέες κακοποιήσεις ευάλωτων πολιτών και έξαρση της αστυνομικής βίας και αυθαιρεσίας, με αποτέλεσμα νέες καταδίκες από το Ευρωπαϊκό Δικαστήριο Δικαιωμάτων του Ανθρώπου; 7ον Μετά την άσκηση των κακουργηματικών ποινικών διώξεων, σε βάρος των Αστυνομικών, οι υπαίτιοι Αστυνομικοί, όσοι δηλαδή δεν κατάφεραν να συνταξιοδοτηθούν ή αποστρατευθούν για άλλους λόγους, εκμεταλλευόμενοι την Ατιμωρησία, έχουν τεθεί σε διαθεσιμότητα ή τα στελέχη της Διεύθυνσης Αστυνομικού Προσωπικού σκοπεύουν να σας εκθέσουν περαιτέρω, εάν δεν εκτελούν τις δικές σας υποδείξεις; ",https://www.naftemporiki.gr/wp-content/themes/naftemporiki/images/N.PNG,Τι αναφέρουν σε ανακοίνωσή τους,2025,2,1
https://www.naftemporiki.gr/society/1899120/gynaikoktonia-exo-apo-to-at-agion-anargyron-poiniki-dioxi-se-varos-ton-astynomikon/,Γυναικοκτονία έξω από το ΑΤ Αγίων Αναργύρων: Ποινική δίωξη σε βάρος των αστυνομικών,2025-01-30,19:25:36,Κοινωνία,,Ποινική δίωξη για το κακούργημα της θανατηφόρας έκθεσης από υπόχρεο πρόσωπο διά παραλείψεως ασκήθηκε σε βάρος τεσσάρων αστυνομικών για την υπόθεση είναι τέσσερις αστυνομικοί για την υπόθεση της δολοφονίας της Κυριακής Γρίβα έξω από το Α.Τ. Αγίων Αναργύρων την 1η Απριλίου 2024.,"Οι αστυνομικοί οι οποίοι είχαν κληθεί να καταθέσουν με την ιδιότητα του υπόπτου θα απολογηθούν ενώπιον του ανακριτή. Την τιμωρία των αστυνομικών οργάνων έχει ζητήσει από την πρώτη στιγμή η οικογένεια του θύματος που δολοφονήθηκε από τον πρώην σύντροφό της. Μέσω των δικηγόρων τους είχαν εκφράσει την οργή τους για τις πειθαρχικές ποινές που είχαν επιβληθεί στους τέσσερις αστυνομικούς. Πριν από λίγες ημέρες εκδόθηκε παραπεμπτικό βούλευμα για τον 37χρονο πρώην σύντροφο του θύματος, ο οποίος θα δικαστεί από το Μικτό Ορκωτό Δικαστήριο για ανθρωποκτονία από πρόθεση σε ήρεμη ψυχική κατάσταση. ",https://www.naftemporiki.gr/wp-content/themes/naftemporiki/images/N.PNG,Θα απολογηθούν ενώπιον του ανακριτή,2025,1,30
https://www.naftemporiki.gr/society/1877224/gynaikoktonia-exo-apo-to-at-ag-anargyron-poines-argias-me-apolysi-se-treis-astynomikoys/,Γυναικοκτονία έξω από το ΑΤ Αγ. Αναργύρων: Ποινές αργίας με απόλυση σε τρεις αστυνομικούς,2025-01-09,14:37:50,Κοινωνία,,"Στις πειθαρχικές ποινές σε βάρος αστυνομικών για την υπόθεση της γυναικοκτονίας με θύμα την 28χρονη Κυριακή Γρίβα έξω από το Αστυνομικό Τμήμα Αγίων Αναργύρων, τον Απρίλιο του 2024, αναφέρεται το αρχηγείο της Ελληνικής Αστυνομίας, απαντώντας σε σχετικά δημοσιεύματα.","Συγκεκριμένα, σε τρεις από τους παριστάμενους την ώρα εκείνη αστυνομικούς επιβλήθηκαν και από το δευτεροβάθμιο πειθαρχικό δικαστήριο ποινές αργίας, με απόλυση μεγαλύτερης διάρκειας συγκριτικά με την πρωτοβάθμια απόφαση. Ειδικότερα, η ΕΛ.ΑΣ. επισημαίνει πως, σύμφωνα με το Πειθαρχικό Δίκαιο Αστυνομικών Υπαλλήλων (Π.Δ. 120/2008 όπως τροποποιήθηκε και ισχύει), η πειθαρχική διαδικασία είναι αυτοτελής και ανεξάρτητη ενώ δεν μπορεί να ανασταλεί από την ποινική ή άλλη δίκη. Στη συγκεκριμένη υπόθεση, ενεργοποιήθηκαν άμεσα οι μηχανισμοί διερεύνησης σε ποινικό και πειθαρχικό επίπεδο, με σκοπό την εξέταση και τον τυχόν καταλογισμό ευθυνών σε βάρος των εμπλεκόμενων αστυνομικών. Ειδικότερα, σε ποινικό επίπεδο, διατάχθηκε από την Εισαγγελία Πρωτοδικών Αθηνών προκαταρκτική εξέταση, η οποία ανατέθηκε στην Υπηρεσία Εσωτερικών Υποθέσεων Σωμάτων Ασφαλείας. Μετά τις απαραίτητες ενέργειες, η δικογραφία υποβλήθηκε στην Εισαγγελία στις 6 Δεκεμβρίου 2024, όπου εκκρεμεί η διερεύνηση της τέλεσης ποινικών αδικημάτων από τους εμπλεκόμενους αστυνομικούς. Παράλληλα, με την ΕΔΕ που είχε εξ αρχής διαταχθεί, μετά και τη γνωμοδότηση του Συνηγόρου του Πολίτη, οι αστυνομικοί παραπέμφθηκαν στο Πρωτοβάθμιο Πειθαρχικό Συμβούλιο Αξιωματικών Αθηνών, με το ερώτημα επιβολής της ποινής της απόταξης. Το αρμόδιο πειθαρχικό δικαστήριο σε πρώτο βαθμό επέβαλε, κατά την ανεξάρτητη κρίση του, για αμιγώς πειθαρχικά παραπτώματα ποινές αργίας με απόλυση σε τρεις αστυνομικούς και ποινή προστίμου σε έναν αστυνομικό, ενώ κατά την εκδίκαση σε δεύτερο βαθμό ως προς τους τρεις αστυνομικούς επιβλήθηκαν εκ νέου ποινές αργίας με απόλυση μεγαλύτερης διάρκειας. Σύμφωνα με την ΕΛ.ΑΣ., η επόπτρια και ο σκοπός του αστυνομικού καταστήματος δεν υπηρετούν πλέον στην Ελληνική Αστυνομία και συγκεκριμένα η πρώτη λόγω αποστρατείας και ο δεύτερος λόγω απόταξης για προγενέστερο παράπτωμα. Η απόφαση αυτή του δευτεροβάθμιου πειθαρχικού δικαστηρίου, για πρώτη φορά με απόφαση του υπουργού Προστασίας του Πολίτη, θα διαβιβαστεί στην Εθνική Αρχή Διαφάνειας, προκειμένου να ασκηθούν τα κατά τον Νόμο προβλεπόμενα ένδικα μέσα. Τα Πειθαρχικά Συμβούλια λειτουργούν και λαμβάνουν αποφάσεις ανεξάρτητα, όπως συμβαίνει και με τα ποινικά δικαστήρια, ενώ, σύμφωνα με το πειθαρχικό δίκαιο, εφόσον εκδοθεί αμετάκλητη καταδικαστική απόφαση του ποινικού δικαστηρίου που επισύρει ποινή απόταξης ή αργίας με απόλυση, επαναλαμβάνεται η πειθαρχική δίκη για τυχόν επιβολή των ποινών αυτών. ",https://www.naftemporiki.gr/wp-content/themes/naftemporiki/images/N.PNG,Η επόπτρια και ο σκοπός του αστυνομικού καταστήματος δεν υπηρετούν πλέον στην Ελληνική Αστυνομία,2025,1,9
https://www.naftemporiki.gr/society/1852739/gynaikoktonia-stoys-ampelokipoys-den-to-choroyse-o-noys-moy-ti-eicha-kanei-apologithike-o-39chronos/,Γυναικοκτονία στους Αμπελόκηπους: «Δεν το χωρούσε ο νους μου τι είχα κάνει» λέει ο 39χρονος,2024-12-10,17:52:24,Κοινωνία,,"Συντετριμμένος, σύμφωνα με τον συνήγορό του, ήταν καθ’ όλη τη διάρκεια της απολογίας του ο δράστης της δολοφονίας της συζύγου του στους Αμπελόκηπους.","Ο 39χρονος, ο οποίος κρίθηκε προφυλακιστέος, φέρεται να είπε στην ανακρίτρια ότι το βράδυ του εγκλήματος άκουσε τη σύζυγό του να μιλά στο τηλέφωνο με κάποιον, η φωνή του οποίου προσομοίαζε με φίλου του, και του έλεγε ότι θα έπαιρνε τον μεγάλο γιο τους και θα έφευγε. «Της ζήτησα να έρθει στο δωμάτιο να μιλήσουμε. Πράγματι ήρθε κι ενώ στην αρχή αρνήθηκε ότι μιλούσε στο τηλέφωνο – αποκρινόμενη ότι δήθεν έβλεπε «βιντεάκια» -, στη συνέχεια παραδέχθηκε  ότι μιλούσε με άντρα και συγκεκριμένα τον παιδικό μου φίλο. Μου δήλωσε ταυτόχρονα ότι θα έπαιρνε το μεγάλο παιδί και θα έφευγε, αφού εγώ δεν είχα χρήματα, αποδίδοντάς μου μάλιστα τους προσβλητικούς χαρακτηρισμούς ότι «είμαι ανθρωπάκι», «λίγος» και ότι «μια ζωή κοιμάμαι με το ψέμα της». Προσπαθώντας να διατηρήσω μάταια τη ψυχραιμία μου, τη ρώτησα «για ποιο λόγο θα πάρει το μεγάλο παιδί μαζί της, αφού έχουμε δύο παιδιά». Τότε μου απάντησε με απόλυτη ψυχρότητα κοιτάζοντάς με κατάματα ότι δεν είναι δικό μου παιδί (το μεγαλύτερο)». Αυτό, που του είπε η σύζυγός του, όπως ισχυρίστηκε, του προκάλεσε ανεξέλεγκτη οργή. «Θόλωσα τόσο πολύ ακούγοντας ότι το παιδί μου, που λατρεύω, δεν ήταν δικό μου, και χωρίς κανένα έλεγχο των πράξεών μου, έπιασα ένα σφυρί από την τσάντα των εργαλείων που χρησιμοποιώ στην οικοδομή και είχα εντός της κρεβατοκάμαρας και της κατάφερα ένα χτύπημα στο κεφάλι. Έπεσε πάνω στο κρεβάτι μας και, εντελώς τυφλωμένος από τα έντονα συναισθήματα που βίωνα εκείνη τη στιγμή, έπιασα το καλώδιο ενός φορτιστή που ήταν δίπλα μου και το έσφιξα στον λαιμό της. Όταν λίγα δευτερόλεπτα αργότερα κατάλαβα τι είχε συμβεί, τρελάθηκα και προσπάθησα να την επαναφέρω δύο φορές. Την πίεζα στο στήθος και προσπάθησα να την κάνω να αναπνεύσει, αλλά δεν κατάφερα τίποτα. Ήμουν σε κατάσταση πανικού. Τη σκέπασα και την έβαλα στη ντουλάπα. Δεν μπορούσα να το διαχειριστώ, δεν ήξερα τι να κάνω. Δεν μπορούσα να πιστέψω τι είχε συμβεί. Δεν το χωρούσε ο νους μου. Ήθελα όμως να το πω στις αρχές, γιατί δεν άντεχα άλλο το βάρος, κι έτσι κάλεσα την αστυνομία και με απόλυτη ειλικρίνεια τους είπα τα πάντα. Από τη μοιραία στιγμή που διαδραματίστηκαν αυτά τα γεγονότα, μέχρι και την αυθόρμητη εμφάνισή μου στις Αρχές, βίωνα καθημερινά μια ουσιαστική και συνειδητή ενδοσκόπηση που με οδήγησε να επιζητώ την αυτοτιμωρία μου. Άλλωστε, ποτέ δεν σκέφτηκα να τραπώ σε φυγή… Ακόμα και τα μηνύματα που απέστειλα στον γιο μου από το κινητό της μητέρας του, αποκλειστικό σκοπό είχαν να καθησυχάσουν τα παιδιά μου και όχι να αποκρύψουν την άδικη πράξη μου, αφού άλλωστε ενώ είχα το χρονικό περιθώριο να τα διαγράψω, δεν το έπραξα, αλλά αντίθετα τα έθεσα ο ίδιος υπόψη των Αρχών κατά το στάδιο της προανάκρισης. Δεν υπάρχουν λόγια να περιγράψουν τα συναισθήματά μου. Θα έδινα τα πάντα να γυρνούσα τον χρόνο πίσω για να αλλάξω αυτό που έγινε σε μία στιγμή ανεξέλεγκτης οργής». ",https://www.naftemporiki.gr/wp-content/themes/naftemporiki/images/N.PNG,«Ήμουν σε κατάσταση πανικού. Τη σκέπασα και την έβαλα στη ντουλάπα»,2024,12,10
